0.38	-0.703265
0.381	-0.69855
0.382	-0.693842
0.383	-0.68914
0.384	-0.684446
0.385	-0.679758
0.386	-0.675078
0.387	-0.670404
0.388	-0.665737
0.389	-0.661078
0.39	-0.656425
0.391	-0.65178
0.392	-0.647141
0.393	-0.64251
0.394	-0.637886
0.395	-0.633269
0.396	-0.628659
0.397	-0.624056
0.398	-0.619461
0.399	-0.614873
0.4	-0.610292
0.401	-0.605718
0.402	-0.601152
0.403	-0.596593
0.404	-0.592042
0.405	-0.587497
0.406	-0.582961
0.407	-0.578431
0.408	-0.57391
0.409	-0.569395
0.41	-0.564889
0.411	-0.56039
0.412	-0.555898
0.413	-0.551414
0.414	-0.546938
0.415	-0.542469
0.416	-0.538008
0.417	-0.533554
0.418	-0.529109
0.419	-0.524671
0.42	-0.520241
0.421	-0.515818
0.422	-0.511404
0.423	-0.506997
0.424	-0.502598
0.425	-0.498207
0.426	-0.493824
0.427	-0.489449
0.428	-0.485082
0.429	-0.480723
0.43	-0.476371
0.431	-0.472028
0.432	-0.467693
0.433	-0.463366
0.434	-0.459047
0.435	-0.454737
0.436	-0.450434
0.437	-0.44614
0.438	-0.441854
0.439	-0.437576
0.44	-0.433306
0.441	-0.429045
0.442	-0.424791
0.443	-0.420547
0.444	-0.41631
0.445	-0.412082
0.446	-0.407862
0.447	-0.403651
0.448	-0.399448
0.449	-0.395254
0.45	-0.391068
0.451	-0.386891
0.452	-0.382722
0.453	-0.378562
0.454	-0.37441
0.455	-0.370268
0.456	-0.366133
0.457	-0.362008
0.458	-0.357891
0.459	-0.353782
0.46	-0.349683
0.461	-0.345592
0.462	-0.34151
0.463	-0.337437
0.464	-0.333373
0.465	-0.329317
0.466	-0.325271
0.467	-0.321233
0.468	-0.317204
0.469	-0.313185
0.47	-0.309174
0.471	-0.305172
0.472	-0.301179
0.473	-0.297196
0.474	-0.293221
0.475	-0.289256
0.476	-0.285299
0.477	-0.281352
0.478	-0.277414
0.479	-0.273485
0.48	-0.269566
0.481	-0.265656
0.482	-0.261755
0.483	-0.257863
0.484	-0.25398
0.485	-0.250107
0.486	-0.246244
0.487	-0.242389
0.488	-0.238545
0.489	-0.234709
0.49	-0.230883
0.491	-0.227067
0.492	-0.22326
0.493	-0.219462
0.494	-0.215675
0.495	-0.211896
0.496	-0.208128
0.497	-0.204369
0.498	-0.200619
0.499	-0.19688
0.5	-0.19315
0.501	-0.18943
0.502	-0.185719
0.503	-0.182019
0.504	-0.178328
0.505	-0.174646
0.506	-0.170974
0.507	-0.167312
0.508	-0.163659
0.509	-0.160016
0.51	-0.156382
0.511	-0.152758
0.512	-0.149143
0.513	-0.145538
0.514	-0.141942
0.515	-0.138356
0.516	-0.134779
0.517	-0.131211
0.518	-0.127652
0.519	-0.124103
0.52	-0.120563
0.521	-0.117032
0.522	-0.11351
0.523	-0.109998
0.524	-0.106495
0.525	-0.103
0.526	-0.0995153
0.527	-0.0960393
0.528	-0.0925722
0.529	-0.0891143
0.53	-0.0856652
0.531	-0.0822252
0.532	-0.0787941
0.533	-0.0753719
0.534	-0.0719586
0.535	-0.0685541
0.536	-0.0651585
0.537	-0.0617717
0.538	-0.0583936
0.539	-0.0550243
0.54	-0.0516637
0.541	-0.0483119
0.542	-0.0449687
0.543	-0.0416341
0.544	-0.0383082
0.545	-0.0349909
0.546	-0.0316821
0.547	-0.0283819
0.548	-0.0250902
0.549	-0.0218071
0.55	-0.0185323
0.551	-0.015266
0.552	-0.0120082
0.553	-0.00875869
0.554	-0.00551758
0.555	-0.0022848
0.556	0.000939671
0.557	0.00415585
0.558	0.00736378
0.559	0.0105635
0.56	0.0137549
0.561	0.0169382
0.562	0.0201134
0.563	0.0232804
0.564	0.0264393
0.565	0.0295901
0.566	0.0327329
0.567	0.0358677
0.568	0.0389944
0.569	0.0421132
0.57	0.0452241
0.571	0.048327
0.572	0.051422
0.573	0.0545091
0.574	0.0575884
0.575	0.0606599
0.576	0.0637236
0.577	0.0667795
0.578	0.0698277
0.579	0.0728682
0.58	0.0759009
0.581	0.0789261
0.582	0.0819435
0.583	0.0849534
0.584	0.0879557
0.585	0.0909504
0.586	0.0939376
0.587	0.0969173
0.588	0.0998895
0.589	0.102854
0.59	0.105812
0.591	0.108762
0.592	0.111704
0.593	0.114639
0.594	0.117567
