"0,1","-2,20259"
"0,112","-2,07726"
"0,124","-1,96347"
"0,136","-1,8591"
"0,148","-1,76254"
"0,16","-1,67258"
"0,172","-1,58826"
"0,184","-1,50882"
"0,196","-1,43364"
"0,208","-1,36222"
"0,22","-1,29413"
"0,232","-1,22902"
"0,244","-1,16659"
"0,256","-1,10658"
"0,268","-1,04877"
"0,28","-0,992966"
"0,292","-0,939001"
"0,304","-0,886728"
"0,316","-0,836013"
"0,328","-0,786742"
"0,34","-0,73881"
"0,352","-0,692124"
"0,364","-0,646601"
"0,376","-0,602166"
"0,388","-0,55875"
"0,4","-0,516291"
"0,412","-0,474732"
"0,424","-0,434022"
"0,436","-0,394113"
"0,448","-0,354962"
"0,46","-0,316529"
"0,472","-0,278776"
"0,484","-0,24167"
"0,496","-0,205179"
"0,508","-0,169274"
"0,52","-0,133926"
"0,532","-0,0991118"
"0,544","-0,064806"
"0,556","-0,030987"
"0,568","0,00236614"
"0,58","0,0352728"
"0,592","0,0677514"
"0,604","0,0998189"
"0,616","0,131492"
"0,628","0,162785"
"0,64","0,193713"
"0,652","0,224289"
"0,664","0,254527"
"0,676","0,284438"
"0,688","0,314034"
"0,7","0,343325"
"0,712","0,372323"
"0,724","0,401036"
"0,736","0,429475"
"0,748","0,457648"
"0,76","0,485563"
"0,772","0,513229"
"0,784","0,540654"
"0,796","0,567844"
"0,808","0,594807"
"0,82","0,621549"
"0,832","0,648077"
"0,844","0,674397"
"0,856","0,700515"
"0,868","0,726436"
"0,88","0,752167"
"0,892","0,777711"
"0,904","0,803074"
"0,916","0,828261"
"0,928","0,853276"
"0,94","0,878125"
"0,952","0,90281"
"0,964","0,927336"
"0,976","0,951707"
"0,988","0,975927"
1,1
"1,012","1,02393"
"1,024","1,04772"
"1,036","1,07137"
"1,048","1,09488"
"1,06","1,11827"
"1,072","1,14153"
"1,084","1,16466"
"1,096","1,18767"
"1,108","1,21056"
"1,12","1,23333"
"1,132","1,25599"
"1,144","1,27853"
"1,156","1,30097"
"1,168","1,32329"
"1,18","1,34551"
"1,192","1,36763"
"1,204","1,38965"
"1,216","1,41157"
"1,228","1,43339"
"1,24","1,45511"
"1,252","1,47674"
"1,264","1,49828"
"1,276","1,51973"
"1,288","1,54109"
